Group,Subgroup,Field,Description,Data Type,File,ClassificationType,Needed in Import,Obs
Taxonomy,Internal Taxon ID,internal_taxon_id,should be unique - hopefully the external system will have one - IS REQUIRED,Short text,allfields.csv,,YES,
Taxonomy,other fields,kingdom,,Short text,taxonomy.csv,,YES,
Taxonomy,other fields,phylum,,Short text,taxonomy.csv,,YES,
Taxonomy,other fields,classname,,Short text,taxonomy.csv,,YES,class and order are reserved words
Taxonomy,other fields,ordername,,Short text,taxonomy.csv,,YES,class and order are reserved words
Taxonomy,other fields,family,,Short text,taxonomy.csv,,YES,
Taxonomy,other fields,genus,Genus part of the name,Short text,taxonomy.csv,,YES,
Taxonomy,other fields,species,,Short text,taxonomy.csv,,YES,
Taxonomy,other fields,taxonomicAuthority,Authority for the taxon,Short text,taxonomy.csv,,YES,not required for animals subs
Taxonomy,other fields,infraType,"This should be one of: ssp., var., fma., or subsp. REQUIRED if infra_name is present",Short text,taxonomy.csv,,CONDITIONAL,create parent if only subspecies
Taxonomy,other fields,infra_name,subspecies or variety name,Short text,taxonomy.csv,,CONDITIONAL,create parent if only subspecies
Taxonomy,other fields,infra_authority,authors/ref for the infra-specific data. REQUIRED if infra_name is present,Short text,taxonomy.csv,,CONDITIONAL,create parent if only subspecies
Taxonomy,other fields,subpopulation,For subpopulation assessments only: enter the subpopulation name,Short text,taxonomy.csv,,,
Taxonomy,other fields,Redlist_id,optional,integer,taxonomy.csv,,,
Taxonomy,other fields,TaxonomicNotes.value,Taxonomic Notes,Long Text/Narrative,taxonomy.csv,,,
Taxonomy,other fields,Taxonomic reference,"Please enter the full citation for an online taxonomic reference database (e.g., for fishes, this is usually Eschmeyer's Catalog of Fishes: http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatmain.asp), OR the published paper describing the taxon, OR the most recent published taxonomic revision for the taxon.",Short text,taxonomy.csv,,,
Taxonomy,other fields,IdentificationDescription.text,Identification description for the species,Long Text/Narrative,allfields.csv,,,
Distribution,Geographic Range,RangeDocumentation.narrative,Geographic Range Information. This is required for all the assessments apart from Least Concern (LC),Long Text/Narrative,assessments.csv,,YES,
Distribution,AOO,AOO.range,Estimated area of occupancy (AOO) – in km2,Range,allfields.csv,,,
Distribution,AOO,AOO.justification,Justification,Short Text,allfields.csv,,,
Distribution,AOO,AOOContinuingDecline.isInContinuingDecline,"Continuing decline in area of occupancy (AOO). This field can take the following values: ""1"" (meaning true), ""0"" (meaning false), or ""U"" (meaning “unknown”)",Boolean Range,allfields.csv,,,
Distribution,AOO,AOOContinuingDecline.qualifier,Qualifier,Single Select,allfields.csv,,,
Distribution,AOO,AOOContinuingDecline.justification,Justification,Short Text,allfields.csv,,,
Distribution,AOO,AOOExtremeFluctuation.isFluctuating,"Extreme fluctuations in area of occupancy (AOO). This field can take the following values: ""1"" (meaning true), ""0"" (meaning false), or ""U"" (meaning “unknown”)",Boolean Range,allfields.csv,,,
Distribution,AOO,AOOExtremeFluctuation.justification,Justification,Short Text,allfields.csv,,,
Distribution,EOO,EOO.range,Estimated extent of occurrence (EOO)- in km2,Range,allfields.csv,,,
Distribution,EOO,EOO.justification,Justification,Short Text,allfields.csv,,,
Distribution,EOO,EOOContinuingDecline.isContinuingDecline,"Continuing decline in extent of occurrence (EOO). This field can take the following values: ""1"" (meaning true), ""0"" (meaning false), or ""U"" (meaning “unknown”)",Boolean Range,allfields.csv,,,
Distribution,EOO,EOOContinuingDecline.qualifier,Qualifier,Single Select,allfields.csv,,,
Distribution,EOO,EOOContinuingDecline.justification,Justification,Short Text,allfields.csv,,,
Distribution,EOO,EOOExtremeFluctuation.isFluctuating,"Extreme fluctuations in extent of occurrence (EOO). This field can take the following values: ""1"" (meaning true), ""0"" (meaning false), or ""U"" (meaning “unknown”)",Boolean Range,allfields.csv,,,
Distribution,EOO,EOOExtremeFluctuation.justification,Justification,Short Text,allfields.csv,,,
Distribution,Locations,LocationsNumber.range,Number of Locations,Range,allfields.csv,,,
Distribution,Locations,LocationsNumber.justification,Justification,Short Text,allfields.csv,,,
Distribution,Locations,LocationContinuingDecline.inDecline,"Continuing decline in number of locations. This field can take the following values: ""1"" (meaning true), ""0"" (meaning false), or ""U"" (meaning “unknown”)",Boolean Range,allfields.csv,,,
Distribution,Locations,LocationContinuingDecline.qualifier,Qualifier,Single Select,allfields.csv,,,
Distribution,Locations,LocationContinuingDecline.justification,Justification,Short Text,allfields.csv,,,
Distribution,Locations,LocationExtremeFluctuation.isFluctuating,"Extreme fluctuations in the number of locations. This field can take the following values: ""1"" (meaning true), ""0"" (meaning false), or ""U"" (meaning “unknown”)",Boolean Range,allfields.csv,,,
Distribution,Locations,LocationExtremeFluctuation.justification,Justification,Short Text,allfields.csv,,,
Distribution,Very Restricted,AreaRestricted.isRestricted,"Very restricted in area of occupancy (AOO) and/or # of locations. This field can take the following values: ""1"" (meaning true), ""0"" (meaning false), or ""U"" (meaning “unknown”)",Boolean Range,allfields.csv,,,
Distribution,Very Restricted,AreaRestricted.justification,Justification,Short Text,allfields.csv,,,
Distribution,Elevation/Depth,ElevationLower.limit,Elevation Lower Limit (in metres above sea level),Numeric,allfields.csv,,RECOMMENDED,
Distribution,Elevation/Depth,ElevationUpper.limit,Elevation Upper Limit (in metres above sea level),Numeric,allfields.csv,,RECOMMENDED,
Distribution,Map Status,MapStatus.status,Map Status,Single Select,assessments.csv,,YES,
Distribution,Biogeographic Realms,BiogeographicRealm.realm,"Biogeographic Realm (separated by pipes (""|"") if multiple)",Multiple Select,assessments.csv,,CONDITIONAL,
Occurrence,Countries,CountryOccurrence.CountryOccurrenceSubfield.CountryOccurrenceLookup,"Selected Coding Option (provide ISO), e.g. JP",Single Select,countries.csv,YES,YES,
Occurrence,Countries,CountryOccurrence.CountryOccurrenceSubfield.CountryOccurrenceName,"Country Name, e.g. Japan",Short Text,countries.csv,,CONDITIONAL,
Occurrence,Countries,CountryOccurrence.CountryOccurrenceSubfield.presence,Presence,Single Select,countries.csv,,YES,
Occurrence,Countries,CountryOccurrence.CountryOccurrenceSubfield.formerlyBred,"Formerly Bred. This field can take the following values: 1 (meaning ""Yes""), 2 (meaning ""No""), or 3 (meaning ""Unknown"")",Boolean Unknown,countries.csv,,,
Occurrence,Countries,CountryOccurrence.CountryOccurrenceSubfield.origin,Origin,Single Select,countries.csv,,YES,
Occurrence,Countries,CountryOccurrence.CountryOccurrenceSubfield.seasonality,Seasonality,Multiple Select,countries.csv,,,
Population,Documentation,PopulationDocumentation.narrative,Population Information.This is required for all the assessments apart from Least Concern (LC),Long Text/Narrative,assessments.csv,,YES,
Population,Population,PopulationTrend.value,"Current Population Trend - only if not EX, Ew",Single Select: Increasing; Decreasing; Stable; Unknown,assessments.csv,,YES,
Population,Population,PopulationReductionPastBasis.detail,Population Size (mature individuals),Range,allfields.csv,,,
Population,Population,CurrentTrendDataDerivation.value,Source or origin of current trend data,Single Select: Observed; Estimated; Inferred; Suspected; Not Applicable; Unknown,allfields.csv,,RECOMMENDED,
Population,Population,YearOfPopulationEstimate.value,Year of Population Estimate,Float,allfields.csv,,,
Population,Population,PopulationExtremeFluctuation.isFluctuating,"Extreme fluctuations? (in # of mature individuals). This field can take the following values: ""1"" (meaning true), ""0"" (meaning false), or ""U"" (meaning “unknown”)",Boolean Range,allfields.csv,,,
Population,Population,PopulationExtremeFluctuation.justification,Justification,Short Text,allfields.csv,,,
Population,Population,SevereFragmentation.isFragmented,"Severely fragmented? This field can take the following values: ""1"" (meaning true), ""0"" (meaning false), or ""U"" (meaning “unknown”)",Boolean Range,allfields.csv,,,
Population,Population,SevereFragmentation.justification,Justification,Short Text,allfields.csv,,,
Population,Population,PopulationContinuingDecline.isDeclining,"Continuing decline in mature individuals? This field can take the following values: ""1"" (meaning true), ""0"" (meaning false), or ""U"" (meaning “unknown”)",Boolean Range,allfields.csv,,,
Population,Population,PopulationContinuingDecline.qualifier,Qualifier,Single Select,allfields.csv,,,
Population,Population,PopulationContinuingDecline.justification,Justification,Short Text,allfields.csv,,,
Population,Population,PopulationDeclineGenerations1.range,"Continuing decline % in mature individuals within 1 generation or 3 years, whichever is longer, note to not go 100 years in future",,allfields.csv,,,
Population,Population,PopulationDeclineGenerations1.qualifier,Qualifier,Single Select,allfields.csv,,,
Population,Population,PopulationDeclineGenerations1.justification,Justification,Short Text,allfields.csv,,,
Population,Population,PopulationDeclineGenerations2.range,"Continuing decline % in mature individuals within 2 generations or 5 years, whichever is longer, note to not go 100 years in future",,allfields.csv,,,
Population,Population,PopulationDeclineGenerations2.qualifier,Qualifier,Single Select,allfields.csv,,,
Population,Population,PopulationDeclineGenerations2.justification,Justification,Short Text,allfields.csv,,,
Population,Population,PopulationDeclineGenerations3.range,"Continuing decline % in mature individuals within 3 generations or 10 years, whichever is longer, note to not go 100 years in future",,allfields.csv,,,
Population,Population,PopulationDeclineGenerations3.qualifier,Qualifier,Single Select,allfields.csv,,,
Population,Population,PopulationDeclineGenerations3.justification,Justification,Short Text,allfields.csv,,,
Population,Population,SubpopulationExtremeFluctuation.isFluctuating,"Extreme fluctuations in the number of subpopulations. This field can take the following values: ""1"" (meaning true), ""0"" (meaning false), or ""U"" (meaning “unknown”)",Boolean Range,allfields.csv,,,
Population,Population,SubpopulationExtremeFluctuation.justification,Justification,Short Text,allfields.csv,,,
Population,Population,SubpopulationContinuingDecline.isDeclining,"Continuing decline in number of subpopulations. This field can take the following values: ""1"" (meaning true), ""0"" (meaning false), or ""U"" (meaning “unknown”)",Boolean Range,allfields.csv,,,
Population,Population,SubpopulationContinuingDecline.qualifier,Qualifier,Single Select,allfields.csv,,,
Population,Population,SubpopulationContinuingDecline.justification,Justification,Short Text,allfields.csv,,,
Population,Population,SubpopulationSingle.value,"All individuals in one subpopulation. This field can take the following values: ""1"" (meaning true), ""0"" (meaning false), or ""U"" (meaning “unknown”)",Boolean Range,allfields.csv,,,
Population,Population,MaxSubpopulationSize.range,Size of the largest subpopulation? (in mature individuals),Range,allfields.csv,,,
Population,Population,SubpopulationNumber.range,Number of Subpopulations,Range,allfields.csv,,,
Population,Population,SubpopulationNumber.justification,Justification,Short Text,allfields.csv,,,
Population,Population,MatureIndividualsSubpopulation.value,Number of mature individuals in largest subpopulation,Range,allfields.csv,,,
Population,Population,ExtinctionProbabilityGenerations3.justification,"Justification of probability of extinction in the wild within 3 generations or 10 years, whichever is longer, maximum 100 year",Short Text,allfields.csv,,,
Population,Population,ExtinctionProbabilityGenerations3.range,"Probability of extinction in the wild within 3 generations or 10 years, whichever is longer, maximum 100 year",Range,allfields.csv,,,
Population,Population,ExtinctionProbabilityGenerations5.justification,"Justification of probability of extinction in the wild within 5 generations or 20 years, whichever is longer, maximum 100 years",Short Text,allfields.csv,,,
Population,Population,ExtinctionProbabilityGenerations5.range,"Probability of extinction in the wild within 5 generations or 20 years, whichever is longer, maximum 100 years",Range,allfields.csv,,,
Population,Population,ExtinctionProbabilityYears100.justification,Justification of probability of extinction in the wild within 100 years,Short Text,allfields.csv,,,
Population,Population,ExtinctionProbabilityYears100.range,Probability of extinction in the wild within 100 years,Range,allfields.csv,,,
Population,Past Reduction,PopulationReductionPast.range,Percent Change in past,Range,allfields.csv,,,
Population,Past Reduction,PopulationReductionPast.direction,Reduction or Increase,Single Select,allfields.csv,,,
Population,Past Reduction,PopulationReductionPast.qualifier,Qualifier,Single Select: Observed; Projected; Inferred; Estimated; Suspected,allfields.csv,,,
Population,Past Reduction,PopulationReductionPast.justification,Justification,Short Text,allfields.csv,,,
Population,Past Reduction,PopulationReductionPastBasis.value,Past Population Reduction Basis,"Multiple Select: a) direct observation; b) an index of abundance appropriate for the taxon; c) a decline in area of occupancy, extent of occurrence and/or quality of habitat; d) actual or potential levels of exploitation; e) the effects of introduced taxa, hybridization, pathogens, pollutants, competitors or parasites)",allfields.csv,,,
Population,Past Reduction,PopulationReductionPastBasis.detail,Decline In…,Multiple Select,allfields.csv,,,
Population,Past Reduction,PopulationReductionPastReversible.value,"Causes of past reduction reversible? This field can take the following values: ""1"" (meaning true), ""0"" (meaning false), or ""U"" (meaning “unknown”)",Boolean Range,allfields.csv,,,
Population,Past Reduction,PopulationReductionPastUnderstood.value,"Causes of past reduction understood? This field can take the following values: ""1"" (meaning true), ""0"" (meaning false), or ""U"" (meaning “unknown”)",Boolean Range,allfields.csv,,,
Population,Past Reduction,PopulationReductionPastCeased.value,"Causes of past reduction ceased? This field can take the following values: ""1"" (meaning true), ""0"" (meaning false), or ""U"" (meaning “unknown”)",Boolean Range,allfields.csv,,,
Population,Future Reduction,PopulationReductionFuture.range,Percent Change in future,Range,allfields.csv,,,
Population,Future Reduction,PopulationReductionFuture.direction,Reduction or Increase,Single Select,allfields.csv,,,
Population,Future Reduction,PopulationReductionFuture.qualifier,Qualifier,Single Select,allfields.csv,,,
Population,Future Reduction,PopulationReductionFuture.justification,Justification,Short Text,allfields.csv,,,
Population,Future Reduction,PopulationReductionFutureBasis.value,Future Population Reduction Basis,Multiple Select,allfields.csv,,,
Population,Future Reduction,PopulationReductionFutureBasis.detail,Decline In…,Multiple Select,allfields.csv,,,
Population,Ongoing Reduction,PopulationReductionPastandFuture.range,"Both: Percent Change over any 10 year or 3 generation period, whichever is longer, and must include both past and future, future can’t go beyond 100 years",Range,allfields.csv,,,
Population,Ongoing Reduction,PopulationReductionPastandFuture.direction,Reduction or Increase,Single Select,allfields.csv,,,
Population,Ongoing Reduction,PopulationReductionPastandFuture.numYears,Number of years for this period,Numeric,allfields.csv,,,
Population,Ongoing Reduction,PopulationReductionPastandFuture.qualifier,Qualifier,Single Select,allfields.csv,,,
Population,Ongoing Reduction,PopulationReductionPastandFuture.justification,Justification,Short Text,allfields.csv,,,
Population,Ongoing Reduction,PopulationReductionPastandFutureBasis.value,Both Population Reduction Basis,Multiple Select,allfields.csv,,,
Population,Ongoing Reduction,PopulationReductionPastandFutureBasis.detail,Decline In…,Multiple Select,allfields.csv,,,
Population,Ongoing Reduction,PopulationReductionPastandFutureReversible.value,"Causes of both (past and future) reduction reversible? This field can take the following values: ""1"" (meaning true), ""0"" (meaning false), or ""U"" (meaning “unknown”)",Boolean Range,allfields.csv,,,
Population,Ongoing Reduction,PopulationReductionPastandFutureUnderstood.value,"Causes of both (past and future) reduction understood? This field can take the following values: ""1"" (meaning true), ""0"" (meaning false), or ""U"" (meaning “unknown”)",Boolean Range,allfields.csv,,,
Population,Ongoing Reduction,PopulationReductionPastandFutureCeased.value,"Causes of both (past and future) reduction ceased? This field can take the following values: ""1"" (meaning true), ""0"" (meaning false), or ""U"" (meaning “unknown”)",Boolean Range,allfields.csv,,,
Habitats and Ecology,Documentation,HabitatDocumentation.narrative,Habitat Information.This is required for all the assessments apart from Least Concern (LC),Long Text/Narrative,assessments.csv,YES,YES,
Habitats and Ecology,Coded Habitats,GeneralHabitats.GeneralHabitatsSubfield.GeneralHabitatsLookup,"Selected Coding Option, e.g. 3.4",Single Select,habitats.csv,,YES,
Habitats and Ecology,Coded Habitats,GeneralHabitats.GeneralHabitatsSubfield.GeneralHabitatsName,"Habitat description, e.g. Shrubland ->Shrubland - Temperate",Short Text,habitats.csv,,CONDITIONAL,
Habitats and Ecology,Coded Habitats,GeneralHabitats.GeneralHabitatsSubfield.suitability,Suitability - defaults to suitable if not provided,Single Select,habitats.csv,,YES,
Habitats and Ecology,Coded Habitats,GeneralHabitats.GeneralHabitatsSubfield.season,Season information for species that move,Single Select,habitats.csv,,,
Habitats and Ecology,Coded Habitats,GeneralHabitats.GeneralHabitatsSubfield.majorImportance,Major Importance?,Single Select,habitats.csv,,,
Habitats and Ecology,Habitat Decline,HabitatContinuingDecline.isDeclining,"Continuing decline in area, extent and/or quality of habitat? This field can take the following values: ""1"" (meaning true), ""0"" (meaning false), or ""U"" (meaning “unknown”)",Boolean Range,allfields.csv,,,
Habitats and Ecology,Habitat Decline,HabitatContinuingDecline.qualifier,Qualifier,Single Select,allfields.csv,,,
Habitats and Ecology,Habitat Decline,HabitatContinuingDecline.justification,Justification,Short Text,allfields.csv,,,
Habitats and Ecology,Life History,GenerationLength.range,Generation Length,Range,allfields.csv,,CONDITIONAL,
Habitats and Ecology,Life History,GenerationLength.justification,Justification,Short Text,allfields.csv,,,
Habitats and Ecology,Life History,GenerationLength.quality,,Single Select,allfields.csv,,,
Habitats and Ecology,Life History,FemaleMaturityAge.age,Age at Maturity: Female,Short Text,allfields.csv,,,
Habitats and Ecology,Life History,FemaleMaturityAge.units,Units:,Single Select,allfields.csv,,,
Habitats and Ecology,Life History,MaleMaturityAge.age,Age at Maturity: Male,Short Text,allfields.csv,,,
Habitats and Ecology,Life History,MaleMaturityAge.units,Units:,Single Select,allfields.csv,,,
Habitats and Ecology,Life History,FemaleMaturitySize.size,Size at Maturity (in cms): Female,Short Text,allfields.csv,,,
Habitats and Ecology,Life History,MaleMaturitySize.size,Size at Maturity (in cms): Male,Short Text,allfields.csv,,,
Habitats and Ecology,Life History,Longevity.longevity,Longevity,Short Text,allfields.csv,,,
Habitats and Ecology,Life History,Longevity.units,Units:,Single Select,allfields.csv,,,
Habitats and Ecology,Life History,AvgReproductiveAge.age,Average Reproductive Age,Short Text,allfields.csv,,,
Habitats and Ecology,Life History,AvgReproductiveAge.units,Units:,Single Select,allfields.csv,,,
Habitats and Ecology,Life History,MaxSize.size,Maximum Size (in cms),Short Text,allfields.csv,,,
Habitats and Ecology,Life History,BirthSize.size,Size at Birth (in cms),Short Text,allfields.csv,,,
Habitats and Ecology,Life History,GestationTime.time,Gestation Time,Short Text,allfields.csv,,,
Habitats and Ecology,Life History,GestationTime.units,Units:,Single Select,allfields.csv,,,
