"species.correct","N","dbh.crit","p","p.est","str.match"
"Abarema brachystachya",6,NA,NA,"0.5122","unknown_small_tree"
"Abarema cochliacarpos",1,12.5,1,"0.4498","early_secondary_large_tree"
"Abarema filamentosa",5,12.5,0.4,"0.4498","early_secondary_large_tree"
"Abarema langsdorffii",127,12.5,0.464566929133858,"0.4498","early_secondary_large_tree"
"Acnistus arborescens",2,7,0.5,"0.5998","early_secondary_small_tree"
"Actinostemon appendiculatus",7,NA,NA,"0.5122","unknown_small_tree"
"Actinostemon concepcionis",535,8,0.0261682242990654,"0.4927","late_secondary_small_tree"
"Actinostemon concolor",383,8,0.16710182767624,"0.4927","late_secondary_small_tree"
"Actinostemon klotzschii",4,8,0,"0.4927","late_secondary_small_tree"
"Actinostemon verticillatus",45,15,0,"0.3047","late_secondary_large_tree"
"Adenocalymma hirtum",1,NA,NA,NA,"NA_NA"
"Adenocalymma salmoneum",1,NA,NA,NA,"NA_NA"
"Adenocalymma validum",1,NA,NA,NA,"NA_NA"
"Aegiphila brachiata",6,7,0.666666666666667,"0.5998","early_secondary_small_tree"
"Aegiphila integrifolia",29,10,0.413793103448276,"0.5842","pioneer_large_tree"
"Agonandra excelsa",49,15,0.326530612244898,"0.3047","late_secondary_large_tree"
"Aiouea acarodomatifera",44,15,0.477272727272727,"0.3047","late_secondary_large_tree"
"Aiouea hirsuta",1,8,1,"0.4927","late_secondary_small_tree"
"Aiouea saligna",51,15,0.490196078431373,"0.3047","late_secondary_large_tree"
"Albizia niopoides",19,12.5,0.842105263157895,"0.4498","early_secondary_large_tree"
"Albizia pedicellaris",179,15,0.70391061452514,"0.3047","late_secondary_large_tree"
"Albizia polycephala",19,12.5,0.736842105263158,"0.4498","early_secondary_large_tree"
"Alchornea glandulosa",179,10,0.675977653631285,"0.5842","pioneer_large_tree"
"Alchornea triplinervia",785,12.5,0.656050955414013,"0.4498","early_secondary_large_tree"
"Algernonia leandrii",2,8,1,"0.4927","late_secondary_small_tree"
"Allagoptera caudescens",2,7,1,"0.5998","early_secondary_small_tree"
"Allophylus edulis",18,12.5,0.166666666666667,"0.4498","early_secondary_large_tree"
"Allophylus membranifolius",1,7,1,"0.5998","early_secondary_small_tree"
"Allophylus petiolulatus",49,15,0.0408163265306122,"0.3047","late_secondary_large_tree"
"Allophylus puberulus",1,12.5,0,"0.4498","early_secondary_large_tree"
"Aloysia virgata",5,6,1,"0.7213","pioneer_small_tree"
"Alseis floribunda",162,12.5,0.45679012345679,"0.4498","early_secondary_large_tree"
"Alsophila setosa",28,20,0,"0.2533","climax_large_tree"
"Alsophila sternbergii",445,15,0.049438202247191,"0.3047","late_secondary_large_tree"
"Amaioua guianensis",282,12.5,0.333333333333333,"0.4498","early_secondary_large_tree"
"Amaioua intermedia",1098,12.5,0.309653916211293,"0.4498","early_secondary_large_tree"
"Amanoa guianensis",17,12.5,0.411764705882353,"0.4498","early_secondary_large_tree"
"Amanoa oblongifolia",1,NA,NA,NA,"NA_NA"
"Ampelocera glabra",86,12.5,0.430232558139535,"0.4498","early_secondary_large_tree"
"Amphilophium bauhinioides",2,NA,NA,NA,"NA_NA"
"Amphirrhox longifolia",1,8,1,"0.4927","late_secondary_small_tree"
"Anaxagorea dolichocarpa",177,8,0.395480225988701,"0.4927","late_secondary_small_tree"
"Andira anthelmia",688,12.5,0.303779069767442,"0.4498","early_secondary_large_tree"
"Andira fraxinifolia",50,12.5,0.14,"0.4498","early_secondary_large_tree"
"Andira legalis",2,12.5,0.5,"0.4498","early_secondary_large_tree"
"Andira lewisii",2,NA,NA,NA,"NA_NA"
"Andira nitida",4,12.5,0.5,"0.4498","early_secondary_large_tree"
"Andradea floribunda",2,12.5,1,"0.4498","early_secondary_large_tree"
"Aniba firmula",119,15,0.378151260504202,"0.3047","late_secondary_large_tree"
"Aniba intermedia",16,NA,NA,"0.3342","unknown_large_tree"
"Aniba viridis",88,8,0.5,"0.4927","late_secondary_small_tree"
"Annona acutiflora",8,7,0.375,"0.5998","early_secondary_small_tree"
"Annona bahiensis",14,10,0.357142857142857,"0.5842","pioneer_large_tree"
"Annona cacans",11,12.5,0.909090909090909,"0.4498","early_secondary_large_tree"
"Annona dolabripetala",3,12.5,0.666666666666667,"0.4498","early_secondary_large_tree"
"Annona emarginata",1,12.5,1,"0.4498","early_secondary_large_tree"
"Annona neosericea",217,12.5,0.663594470046083,"0.4498","early_secondary_large_tree"
"Annona parviflora",2,6,0.5,"0.7213","pioneer_small_tree"
"Annona salzmannii",13,12.5,0.461538461538462,"0.4498","early_secondary_large_tree"
"Annona sylvatica",43,12.5,0.302325581395349,"0.4498","early_secondary_large_tree"
"Aparisthmium cordatum",222,10,0.121621621621622,"0.5842","pioneer_large_tree"
"Apeiba albiflora",3,NA,NA,"0.3342","unknown_large_tree"
"Apeiba tibourbou",6,10,0.666666666666667,"0.5842","pioneer_large_tree"
"Aptandra tubicina",28,12.5,0.392857142857143,"0.4498","early_secondary_large_tree"
"Aralia warmingiana",23,12.5,0.782608695652174,"0.4498","early_secondary_large_tree"
"Arapatiella emarginata",16,NA,NA,"0.3342","unknown_large_tree"
"Arapatiella psilophylla",65,15,0.415384615384615,"0.3047","late_secondary_large_tree"
"Ardisia guianensis",1,8,1,"0.4927","late_secondary_small_tree"
"Artocarpus heterophyllus",10,NA,NA,NA,"NA_NA"
"Aspidosperma desmanthum",7,15,0,"0.3047","late_secondary_large_tree"
"Aspidosperma discolor",19,15,0.368421052631579,"0.3047","late_secondary_large_tree"
"Aspidosperma oblongum",4,NA,NA,NA,"NA_NA"
"Aspidosperma olivaceum",59,15,0.474576271186441,"0.3047","late_secondary_large_tree"
"Aspidosperma parvifolium",5,15,0.6,"0.3047","late_secondary_large_tree"
"Aspidosperma polyneuron",1204,15,0.31312292358804,"0.3047","late_secondary_large_tree"
"Aspidosperma pyricollum",14,20,0.571428571428571,"0.2533","climax_large_tree"
"Aspidosperma ramiflorum",2,15,0,"0.3047","late_secondary_large_tree"
"Aspidosperma spruceanum",20,12.5,0.45,"0.4498","early_secondary_large_tree"
"Aspidosperma thomasii",6,NA,NA,"0.3342","unknown_large_tree"
"Aspidosperma tomentosum",18,12.5,0.611111111111111,"0.4498","early_secondary_large_tree"
"Astrocaryum aculeatissimum",332,15,0.0120481927710843,"0.3047","late_secondary_large_tree"
"Astronium fraxinifolium",1,12.5,1,"0.4498","early_secondary_large_tree"
"Astronium graveolens",406,12.5,0.684729064039409,"0.4498","early_secondary_large_tree"
"Attalea dubia",82,12.5,0.975609756097561,"0.4498","early_secondary_large_tree"
"Attalea funifera",4,12.5,1,"0.4498","early_secondary_large_tree"
"Bactris acanthocarpa",2,5,1,"1","climax_large_shrub"
"Bactris ferruginea",13,7,0.538461538461538,"0.5998","early_secondary_small_tree"
"Bactris setosa",226,8,0.00442477876106195,"0.4927","late_secondary_small_tree"
"Bactris vulgaris",3,5,1,"1","early_secondary_large_shrub"
"Balfourodendron riedelianum",894,12.5,0.259507829977629,"0.4498","early_secondary_large_tree"
"Banisteriopsis nummifera",8,NA,NA,NA,"NA_NA"
"Bastardiopsis densiflora",7,12.5,1,"0.4498","early_secondary_large_tree"
"Bathysa australis",1220,12.5,0.405737704918033,"0.4498","early_secondary_large_tree"
"Bathysa mendoncaei",103,8,0.621359223300971,"0.4927","late_secondary_small_tree"
"Bathysa nicholsonii",1,7,1,"0.5998","early_secondary_small_tree"
"Bauhinia forficata",8,10,0.75,"0.5842","pioneer_large_tree"
"Bauhinia grandifolia",1,NA,NA,NA,"NA_NA"
"Bauhinia longifolia",13,12.5,0.461538461538462,"0.4498","early_secondary_large_tree"
"Bauhinia melastomatoidea",2,NA,NA,NA,"NA_NA"
"Bauhinia ovata",3,NA,NA,"0.5122","unknown_small_tree"
"Bauhinia pinheiroi",2,5,1,"1","unknown_large_shrub"
"Bauhinia ungulata",4,12.5,0.25,"0.4498","early_secondary_large_tree"
"Beilschmiedia emarginata",10,15,0.5,"0.3047","late_secondary_large_tree"
"Beilschmiedia linharensis",3,15,0.333333333333333,"0.3047","late_secondary_large_tree"
"Blepharocalyx eggersii",1,15,1,"0.3047","late_secondary_large_tree"
"Blepharocalyx salicifolius",57,15,0.263157894736842,"0.3047","late_secondary_large_tree"
"Boehmeria caudata",16,6,0.9375,"0.7213","pioneer_small_tree"
"Bonamia maripoides",2,NA,NA,NA,"NA_NA"
"Borismene japurensis",1,NA,NA,NA,"NA_NA"
"Bougainvillea glabra",21,12.5,0.761904761904762,"0.4498","early_secondary_large_tree"
"Bowdichia virgilioides",1,12.5,0,"0.4498","early_secondary_large_tree"
"Brasiliopuntia brasiliensis",10,12.5,0.1,"0.4498","early_secondary_large_tree"
"Bredemeyera laurifolia",4,5,1,"1","unknown_large_shrub"
"Brosimum glaziovii",70,15,0.557142857142857,"0.3047","late_secondary_large_tree"
"Brosimum guianense",54,12.5,0.314814814814815,"0.4498","early_secondary_large_tree"
"Brosimum lactescens",4,20,0.25,"0.2533","climax_large_tree"
"Brosimum rubescens",296,12.5,0.456081081081081,"0.4498","early_secondary_large_tree"
"Brunfelsia clandestina",1,9,0,"0.2868","climax_small_tree"
"Brunfelsia pauciflora",4,9,0.25,"0.2868","climax_small_tree"
"Buchenavia hoehneana",1,NA,NA,"0.3342","unknown_large_tree"
"Buchenavia kleinii",45,20,0.444444444444444,"0.2533","climax_large_tree"
"Buchenavia tetraphylla",7,15,0.428571428571429,"0.3047","late_secondary_large_tree"
"Buchenavia tomentosa",3,NA,NA,NA,"NA_NA"
"Bunchosia maritima",11,9,0.181818181818182,"0.2868","climax_small_tree"
"Byrsonima bahiana",2,NA,NA,"0.5122","unknown_small_tree"
"Byrsonima cacaophila",2,12.5,1,"0.4498","early_secondary_large_tree"
"Byrsonima chrysophylla",1,NA,NA,"0.3342","unknown_large_tree"
"Byrsonima crispa",1,12.5,0,"0.4498","early_secondary_large_tree"
"Byrsonima japurensis",7,15,0,"0.3047","late_secondary_large_tree"
"Byrsonima ligustrifolia",377,12.5,0.392572944297082,"0.4498","early_secondary_large_tree"
"Byrsonima myricifolia",95,12.5,0.4,"0.4498","early_secondary_large_tree"
"Byrsonima sericea",21,10,0.619047619047619,"0.5842","pioneer_large_tree"
"Byrsonima stipulacea",1,15,0,"0.3047","late_secondary_large_tree"
"Cabralea canjerana",460,12.5,0.530434782608696,"0.4498","early_secondary_large_tree"
"Calliandra bella",1,NA,NA,"0.5122","unknown_small_tree"
"Calliandra foliolosa",36,8,0.305555555555556,"0.4927","late_secondary_small_tree"
"Calophyllum brasiliense",455,12.5,0.815384615384615,"0.4498","early_secondary_large_tree"
"Calyptranthes brasiliensis",2,12.5,0.5,"0.4498","early_secondary_large_tree"
"Calyptranthes clusiifolia",54,12.5,0.0555555555555556,"0.4498","early_secondary_large_tree"
"Calyptranthes concinna",333,12.5,0.492492492492492,"0.4498","early_secondary_large_tree"
"Calyptranthes lanceolata",69,9,0,"0.2868","climax_small_tree"
"Calyptranthes lucida",209,15,0.143540669856459,"0.3047","late_secondary_large_tree"
"Calyptranthes obovata",2,20,0.5,"0.2533","climax_large_tree"
"Calyptranthes rufa",2,5,1,"1","early_secondary_large_shrub"
"Calyptranthes strigipes",324,20,0.0895061728395062,"0.2533","climax_large_tree"
"Campomanesia dichotoma",3,10,0.333333333333333,"0.5842","pioneer_large_tree"
"Campomanesia guaviroba",94,15,0.446808510638298,"0.3047","late_secondary_large_tree"
"Campomanesia guazumifolia",25,12.5,0.36,"0.4498","early_secondary_large_tree"
"Campomanesia hirsuta",4,8,1,"0.4927","late_secondary_small_tree"
"Campomanesia laurifolia",1,15,0,"0.3047","late_secondary_large_tree"
"Campomanesia neriiflora",1,8,1,"0.4927","late_secondary_small_tree"
"Campomanesia phaea",5,8,0.8,"0.4927","late_secondary_small_tree"
"Campomanesia reitziana",71,12.5,0.450704225352113,"0.4498","early_secondary_large_tree"
"Campomanesia schlechtendaliana",5,15,0.6,"0.3047","late_secondary_large_tree"
"Campomanesia xanthocarpa",162,15,0.259259259259259,"0.3047","late_secondary_large_tree"
"Capsicum recurvatum",1,5,1,"1","unknown_large_shrub"
"Caraipa densifolia",1,15,0,"0.3047","late_secondary_large_tree"
"Carica papaya",2,NA,NA,NA,"NA_NA"
"Cariniana estrellensis",183,15,0.469945355191257,"0.3047","late_secondary_large_tree"
"Cariniana legalis",12,15,0.583333333333333,"0.3047","late_secondary_large_tree"
"Carpotroche brasiliensis",16,15,0.0625,"0.3047","late_secondary_large_tree"
"Caryocar edule",2,15,1,"0.3047","late_secondary_large_tree"
"Casearia arborea",14,12.5,0.428571428571429,"0.4498","early_secondary_large_tree"
"Casearia bahiensis",3,NA,NA,"0.3342","unknown_large_tree"
"Casearia commersoniana",97,15,0.0515463917525773,"0.3047","late_secondary_large_tree"
"Casearia decandra",277,15,0.234657039711191,"0.3047","late_secondary_large_tree"
"Casearia gossypiosperma",321,12.5,0.105919003115265,"0.4498","early_secondary_large_tree"
"Casearia javitensis",7,12.5,0,"0.4498","early_secondary_large_tree"
"Casearia melliodora",3,NA,NA,"0.5122","unknown_small_tree"
"Casearia obliqua",829,12.5,0.261761158021713,"0.4498","early_secondary_large_tree"
"Casearia oblongifolia",1,15,0,"0.3047","late_secondary_large_tree"
"Casearia sylvestris",624,12.5,0.238782051282051,"0.4498","early_secondary_large_tree"
"Cassia ferruginea",3,12.5,0.333333333333333,"0.4498","early_secondary_large_tree"
"Cathedra bahiensis",1,7,1,"0.5998","early_secondary_small_tree"
"Cathedra rubricaulis",3,5,1,"1","unknown_large_shrub"
"Cavanillesia umbellata",1,15,1,"0.3047","late_secondary_large_tree"
"Cecropia glaziovii",216,10,0.740740740740741,"0.5842","pioneer_large_tree"
"Cecropia hololeuca",6,10,0.833333333333333,"0.5842","pioneer_large_tree"
"Cecropia pachystachya",39,10,0.487179487179487,"0.5842","pioneer_large_tree"
"Cedrela fissilis",170,12.5,0.623529411764706,"0.4498","early_secondary_large_tree"
"Cedrela odorata",8,12.5,0.375,"0.4498","early_secondary_large_tree"
"Ceiba speciosa",97,12.5,0.855670103092783,"0.4498","early_secondary_large_tree"
"Ceiba ventricosa",7,12.5,0.428571428571429,"0.4498","early_secondary_large_tree"
"Celtis iguanaea",9,6,0.777777777777778,"0.7213","pioneer_small_tree"
"Centrolobium microchaete",12,12.5,0.5,"0.4498","early_secondary_large_tree"
"Centrolobium robustum",18,12.5,0.666666666666667,"0.4498","early_secondary_large_tree"
"Centrolobium tomentosum",1063,12.5,0.651928504233302,"0.4498","early_secondary_large_tree"
"Cestrum salzmannii",4,NA,NA,"0.3342","unknown_large_tree"
"Cestrum strigilatum",1,6,0,"0.7213","pioneer_small_tree"
"cf. Endlicheria",2,NA,NA,NA,"NA_NA"
"Chamaecrista bahiae",1,7,1,"0.5998","early_secondary_small_tree"
"Chamaecrista duartei",39,NA,NA,"0.3342","unknown_large_tree"
"Chamaecrista ensiformis",27,12.5,0.0740740740740741,"0.4498","early_secondary_large_tree"
"Cheiloclinium cognatum",23,7,0.521739130434783,"0.5998","early_secondary_small_tree"
"Chionanthus filiformis",239,15,0.225941422594142,"0.3047","late_secondary_large_tree"
"Chionanthus micranthus",3,20,0,"0.2533","climax_large_tree"
"Chomelia brasiliana",6,5,1,"1","climax_large_shrub"
"Chomelia obtusa",1,5,1,"1","early_secondary_large_shrub"
"Chomelia parvifolia",58,5,1,"1","late_secondary_large_shrub"
"Chomelia pedunculosa",12,8,0.916666666666667,"0.4927","late_secondary_small_tree"
"Chomelia pohliana",1,7,0,"0.5998","early_secondary_small_tree"
"Chomelia pubescens",2,8,0.5,"0.4927","late_secondary_small_tree"
"Chondrodendron microphyllum",3,NA,NA,NA,"NA_NA"
"Christiana macrodon",3,9,0,"0.2868","climax_small_tree"
"Chrysophyllum flexuosum",49,7,0.857142857142857,"0.5998","early_secondary_small_tree"
"Chrysophyllum gonocarpum",429,15,0.51981351981352,"0.3047","late_secondary_large_tree"
"Chrysophyllum inornatum",133,15,0.360902255639098,"0.3047","late_secondary_large_tree"
"Chrysophyllum lucentifolium",16,15,0.0625,"0.3047","late_secondary_large_tree"
"Chrysophyllum splendens",19,15,0.210526315789474,"0.3047","late_secondary_large_tree"
"Chrysophyllum subspinosum",8,NA,NA,"0.3342","unknown_large_tree"
"Chrysophyllum viride",163,20,0.595092024539877,"0.2533","climax_large_tree"
"Cinnamodendron dinisii",126,15,0.547619047619048,"0.3047","late_secondary_large_tree"
"Cinnamomum triplinerve",1,15,1,"0.3047","late_secondary_large_tree"
"Cissus stipulata",2,NA,NA,NA,"NA_NA"
"Citharexylum myrianthum",28,10,0.678571428571429,"0.5842","pioneer_large_tree"
"Citronella gongonha",2,8,0.5,"0.4927","late_secondary_small_tree"
"Citronella paniculata",183,15,0.191256830601093,"0.3047","late_secondary_large_tree"
"Clarisia ilicifolia",12,15,0,"0.3047","late_secondary_large_tree"
"Clarisia racemosa",3,15,0.666666666666667,"0.3047","late_secondary_large_tree"
"Clethra scabra",91,10,0.758241758241758,"0.5842","pioneer_large_tree"
"Clusia criuva",109,10,0.770642201834862,"0.5842","pioneer_large_tree"
"Clusia hilariana",1,7,1,"0.5998","early_secondary_small_tree"
"Clusia hoffmannseggiana",1,NA,NA,"0.3342","unknown_large_tree"
"Clusia nemorosa",7,10,0.428571428571429,"0.5842","pioneer_large_tree"
"Clusia panapanari",3,NA,NA,"0.3342","unknown_large_tree"
"Cnidoscolus oligandrus",10,NA,NA,"0.3342","unknown_large_tree"
"Coccoloba alnifolia",5,10,0.6,"0.5842","pioneer_large_tree"
"Coccoloba arborescens",7,6,1,"0.7213","pioneer_small_tree"
"Coccoloba declinata",15,15,0.133333333333333,"0.3047","late_secondary_large_tree"
"Coccoloba fastigiata",25,NA,NA,"0.3342","unknown_large_tree"
"Coccoloba glaziovii",13,7,0.615384615384615,"0.5998","early_secondary_small_tree"
"Coccoloba latifolia",24,6,0.916666666666667,"0.7213","pioneer_small_tree"
"Coccoloba marginata",1,12.5,0,"0.4498","early_secondary_large_tree"
"Coccoloba mosenii",4,NA,NA,"0.5122","unknown_small_tree"
"Coccoloba parimensis",2,5,1,"1","unknown_large_shrub"
"Coccoloba warmingii",28,15,0.214285714285714,"0.3047","late_secondary_large_tree"
"Colicodendron bahianum",1,NA,NA,"0.5122","unknown_small_tree"
"Colubrina glandulosa",72,12.5,0.833333333333333,"0.4498","early_secondary_large_tree"
"Conchocarpus coeruleus",65,7,0.246153846153846,"0.5998","early_secondary_small_tree"
"Copaifera langsdorffii",114,15,0.403508771929825,"0.3047","late_secondary_large_tree"
"Copaifera lucens",13,15,0.230769230769231,"0.3047","late_secondary_large_tree"
"Copaifera trapezifolia",76,20,0.473684210526316,"0.2533","climax_large_tree"
"Cordia alliodora",1,12.5,1,"0.4498","early_secondary_large_tree"
"Cordia americana",75,12.5,0.4,"0.4498","early_secondary_large_tree"
"Cordia ecalyculata",228,12.5,0.535087719298246,"0.4498","early_secondary_large_tree"
"Cordia glabrifolia",3,NA,NA,"0.3342","unknown_large_tree"
"Cordia magnoliifolia",8,7,0.5,"0.5998","early_secondary_small_tree"
"Cordia nodosa",2,7,0.5,"0.5998","early_secondary_small_tree"
"Cordia sellowiana",105,12.5,0.428571428571429,"0.4498","early_secondary_large_tree"
"Cordia silvestris",89,10,0.685393258426966,"0.5842","pioneer_large_tree"
"Cordia superba",28,8,0.928571428571429,"0.4927","late_secondary_small_tree"
"Cordia taguahyensis",3,20,0,"0.2533","climax_large_tree"
"Cordia toqueve",7,NA,NA,"0.3342","unknown_large_tree"
"Cordia trachyphylla",8,NA,NA,"0.3342","unknown_large_tree"
"Cordia trichoclada",1,12.5,0,"0.4498","early_secondary_large_tree"
"Cordia trichotoma",83,10,0.819277108433735,"0.5842","pioneer_large_tree"
"Cordiera concolor",55,20,0.0181818181818182,"0.2533","climax_large_tree"
"Cordiera elliptica",3,8,0.666666666666667,"0.4927","late_secondary_small_tree"
"Cordiera macrophylla",6,8,0.666666666666667,"0.4927","late_secondary_small_tree"
"Cordiera myrciifolia",261,8,0.386973180076628,"0.4927","late_secondary_small_tree"
"Couepia belemii",27,NA,NA,"0.3342","unknown_large_tree"
"Couepia bondarii",4,NA,NA,"0.3342","unknown_large_tree"
"Couepia impressa",6,NA,NA,"0.3342","unknown_large_tree"
"Couepia longipendula",1,NA,NA,NA,"NA_NA"
"Couepia monteclarensis",2,8,0.5,"0.4927","late_secondary_small_tree"
"Couepia ovalifolia",3,NA,NA,"0.5122","unknown_small_tree"
"Couepia pernambucensis",1,NA,NA,"0.3342","unknown_large_tree"
"Couepia rufa",1,15,0,"0.3047","late_secondary_large_tree"
"Couepia venosa",8,NA,NA,"0.5122","unknown_small_tree"
"Coussapoa curranii",3,12.5,0.666666666666667,"0.4498","early_secondary_large_tree"
"Coussapoa microcarpa",197,12.5,0.558375634517767,"0.4498","early_secondary_large_tree"
"Coussapoa pachyphylla",9,NA,NA,"0.3342","unknown_large_tree"
"Coussarea accedens",67,8,0.537313432835821,"0.4927","late_secondary_small_tree"
"Coussarea contracta",425,15,0.0564705882352941,"0.3047","late_secondary_large_tree"
"Coussarea graciliflora",5,5,1,"1","unknown_large_shrub"
"Coussarea ilheotica",22,NA,NA,"0.3342","unknown_large_tree"
"Coussarea meridionalis",35,8,0.542857142857143,"0.4927","late_secondary_small_tree"
"Coutarea hexandra",14,12.5,0.357142857142857,"0.4498","early_secondary_large_tree"
"Critoniopsis quinqueflora",4,6,1,"0.7213","pioneer_small_tree"
"Croton floribundus",860,10,0.680232558139535,"0.5842","pioneer_large_tree"
"Croton macrobothrys",52,10,0.692307692307692,"0.5842","pioneer_large_tree"
"Croton piptocalyx",6,10,0.666666666666667,"0.5842","pioneer_large_tree"
"Croton sphaerogynus",2,5,1,"1","unknown_large_shrub"
"Croton thomasii",23,NA,NA,"0.3342","unknown_large_tree"
"Cryptocarya aschersoniana",19,15,0.315789473684211,"0.3047","late_secondary_large_tree"
"Cryptocarya mandioccana",225,15,0.426666666666667,"0.3047","late_secondary_large_tree"
"Cryptocarya moschata",79,15,0.620253164556962,"0.3047","late_secondary_large_tree"
"Cryptocarya saligna",7,15,0.857142857142857,"0.3047","late_secondary_large_tree"
"Cupania bracteosa",1,NA,NA,"0.5122","unknown_small_tree"
"Cupania emarginata",23,7,0.91304347826087,"0.5998","early_secondary_small_tree"
"Cupania furfuracea",3,NA,NA,"0.3342","unknown_large_tree"
"Cupania oblongifolia",662,12.5,0.36404833836858,"0.4498","early_secondary_large_tree"
"Cupania racemosa",7,12.5,0.142857142857143,"0.4498","early_secondary_large_tree"
"Cupania rugosa",13,15,0.538461538461538,"0.3047","late_secondary_large_tree"
"Cupania tenuivalvis",13,7,0.153846153846154,"0.5998","early_secondary_small_tree"
"Cupania vernalis",197,12.5,0.197969543147208,"0.4498","early_secondary_large_tree"
"Curarea crassa",1,NA,NA,NA,"NA_NA"
"Cyathea atrovirens",144,7,0.972222222222222,"0.5998","early_secondary_small_tree"
"Cyathea corcovadensis",129,15,0.0155038759689922,"0.3047","late_secondary_large_tree"
"Cyathea delgadii",19,9,0.473684210526316,"0.2868","climax_small_tree"
"Cyathea glaziovii",4,5,1,"1","climax_large_shrub"
"Cyathea hirsuta",1,9,0,"0.2868","climax_small_tree"
"Cyathea leucofolis",36,5,1,"1","climax_large_shrub"
"Cyathea microdonta",27,8,0.925925925925926,"0.4927","late_secondary_small_tree"
"Cyathea phalerata",273,15,0.043956043956044,"0.3047","late_secondary_large_tree"
"Cyathea praecincta",4,5,1,"1","unknown_large_shrub"
