"species.correct","N","dbh.crit","p","p.est","str.match"
"Plinia callosa",10,NA,NA,"0.5122","unknown_small_tree"
"Plinia cauliflora",2,8,0,"0.4927","late_secondary_small_tree"
"Plinia complanata",34,9,0.147058823529412,"0.2868","climax_small_tree"
"Plinia edulis",22,15,0.181818181818182,"0.3047","late_secondary_large_tree"
"Plinia grandifolia",5,20,0,"0.2533","climax_large_tree"
"Plinia peruviana",10,12.5,0.5,"0.4498","early_secondary_large_tree"
"Plinia pseudodichasiantha",70,20,0.1,"0.2533","climax_large_tree"
"Plinia rara",1,NA,NA,"0.5122","unknown_small_tree"
"Plinia rivularis",9,15,0.222222222222222,"0.3047","late_secondary_large_tree"
"Podocarpus sellowii",40,15,0.775,"0.3047","late_secondary_large_tree"
"Pogonophora schomburgkiana",114,15,0.43859649122807,"0.3047","late_secondary_large_tree"
"Porcelia macrocarpa",1,12.5,0,"0.4498","early_secondary_large_tree"
"Posoqueria acutifolia",230,8,0.617391304347826,"0.4927","late_secondary_small_tree"
"Posoqueria bahiensis",4,NA,NA,"0.5122","unknown_small_tree"
"Posoqueria latifolia",158,12.5,0.322784810126582,"0.4498","early_secondary_large_tree"
"Posoqueria trinitatis",3,NA,NA,"0.5122","unknown_small_tree"
"Pourouma guianensis",108,12.5,0.537037037037037,"0.4498","early_secondary_large_tree"
"Pourouma mollis",19,12.5,0.421052631578947,"0.4498","early_secondary_large_tree"
"Pourouma velutina",39,12.5,0.512820512820513,"0.4498","early_secondary_large_tree"
"Pouteria bangii",57,15,0.368421052631579,"0.3047","late_secondary_large_tree"
"Pouteria bapeba",15,15,0.2,"0.3047","late_secondary_large_tree"
"Pouteria beaurepairei",270,12.5,0.581481481481481,"0.4498","early_secondary_large_tree"
"Pouteria bilocularis",19,15,0.0526315789473684,"0.3047","late_secondary_large_tree"
"Pouteria bullata",248,15,0.508064516129032,"0.3047","late_secondary_large_tree"
"Pouteria butyrocarpa",9,20,0.333333333333333,"0.2533","climax_large_tree"
"Pouteria caimito",115,15,0.521739130434783,"0.3047","late_secondary_large_tree"
"Pouteria coelomatica",10,15,0.5,"0.3047","late_secondary_large_tree"
"Pouteria cuspidata",11,15,0.272727272727273,"0.3047","late_secondary_large_tree"
"Pouteria gardneri",4,15,0.5,"0.3047","late_secondary_large_tree"
"Pouteria grandiflora",9,12.5,0,"0.4498","early_secondary_large_tree"
"Pouteria guianensis",5,15,0.2,"0.3047","late_secondary_large_tree"
"Pouteria macahensis",8,12.5,0.125,"0.4498","early_secondary_large_tree"
"Pouteria macrophylla",11,15,0.454545454545455,"0.3047","late_secondary_large_tree"
"Pouteria microstrigosa",5,15,0,"0.3047","late_secondary_large_tree"
"Pouteria procera",18,15,0.388888888888889,"0.3047","late_secondary_large_tree"
"Pouteria psammophila",50,15,0.52,"0.3047","late_secondary_large_tree"
"Pouteria ramiflora",2,15,1,"0.3047","late_secondary_large_tree"
"Pouteria reticulata",40,15,0.125,"0.3047","late_secondary_large_tree"
"Pouteria torta",7,12.5,0.714285714285714,"0.4498","early_secondary_large_tree"
"Pouteria venosa",74,15,0.378378378378378,"0.3047","late_secondary_large_tree"
"Pradosia glaziovii",1,NA,NA,"0.3342","unknown_large_tree"
"Pradosia kuhlmannii",1,NA,NA,"0.3342","unknown_large_tree"
"Pradosia lactescens",47,15,0.191489361702128,"0.3047","late_secondary_large_tree"
"Pradosia subverticillata",2,NA,NA,NA,"NA_NA"
"Prockia crucis",19,7,0.421052631578947,"0.5998","early_secondary_small_tree"
"Protium aracouchini",61,12.5,0.131147540983607,"0.4498","early_secondary_large_tree"
"Protium atlanticum",2,NA,NA,"0.3342","unknown_large_tree"
"Protium catuaba",36,NA,NA,"0.3342","unknown_large_tree"
"Protium heptaphyllum",239,12.5,0.447698744769874,"0.4498","early_secondary_large_tree"
"Protium icicariba",80,NA,NA,"0.3342","unknown_large_tree"
"Protium kleinii",91,20,0.32967032967033,"0.2533","climax_large_tree"
"Protium warmingianum",29,15,0.206896551724138,"0.3047","late_secondary_large_tree"
"Prunus myrtifolia",82,12.5,0.451219512195122,"0.4498","early_secondary_large_tree"
"Pseudobombax grandiflorum",21,12.5,0.714285714285714,"0.4498","early_secondary_large_tree"
"Pseudolmedia hirtula",108,20,0.25,"0.2533","climax_large_tree"
"Pseudolmedia macrophylla",13,NA,NA,"0.3342","unknown_large_tree"
"Pseudopiptadenia bahiana",11,NA,NA,"0.5122","unknown_small_tree"
"Pseudopiptadenia contorta",1,12.5,1,"0.4498","early_secondary_large_tree"
"Pseudopiptadenia warmingii",76,15,0.539473684210526,"0.3047","late_secondary_large_tree"
"Pseudoxandra bahiensis",21,20,0.0476190476190476,"0.2533","climax_large_tree"
"Psidium bahianum",1,NA,NA,"0.3342","unknown_large_tree"
"Psidium cattleyanum",280,12.5,0.589285714285714,"0.4498","early_secondary_large_tree"
"Psidium guajava",10,NA,NA,NA,"NA_NA"
"Psidium sartorianum",3,12.5,0.333333333333333,"0.4498","early_secondary_large_tree"
"Psychotria brachypoda",2,9,0,"0.2868","climax_small_tree"
"Psychotria carthagenensis",5,8,0.2,"0.4927","late_secondary_small_tree"
"Psychotria colorata",1,5,1,"1","unknown_large_shrub"
"Psychotria mapourioides",372,15,0.360215053763441,"0.3047","late_secondary_large_tree"
"Psychotria nemorosa",17,5,1,"1","climax_large_shrub"
"Psychotria nuda",1911,15,0.00627943485086342,"0.3047","late_secondary_large_tree"
"Psychotria pleiocephala",10,15,0.2,"0.3047","late_secondary_large_tree"
"Psychotria schlechtendaliana",11,5,1,"1","late_secondary_large_shrub"
"Psychotria suterella",346,15,0.0173410404624277,"0.3047","late_secondary_large_tree"
"Psychotria vellosiana",43,15,0.581395348837209,"0.3047","late_secondary_large_tree"
"Pterocarpus rohrii",381,12.5,0.52755905511811,"0.4498","early_secondary_large_tree"
"Pterodon emarginatus",1,12.5,1,"0.4498","early_secondary_large_tree"
"Qualea cryptantha",38,10,0.736842105263158,"0.5842","pioneer_large_tree"
"Qualea magna",16,NA,NA,"0.3342","unknown_large_tree"
"Quararibea penduliflora",26,20,0.461538461538462,"0.2533","climax_large_tree"
"Quararibea turbinata",34,15,0.235294117647059,"0.3047","late_secondary_large_tree"
"Quiina glaziovii",245,12.5,0.412244897959184,"0.4498","early_secondary_large_tree"
"Ramisia brasiliensis",2,10,0.5,"0.5842","pioneer_large_tree"
"Randia armata",31,7,0.612903225806452,"0.5998","early_secondary_small_tree"
"Randia calycina",2,5,1,"1","late_secondary_large_shrub"
"Randia ferox",3,8,0.666666666666667,"0.4927","late_secondary_small_tree"
"Rauia nodosa",6,8,0.166666666666667,"0.4927","late_secondary_small_tree"
"Rauvolfia bahiensis",4,12.5,0.25,"0.4498","early_secondary_large_tree"
"Rauvolfia grandiflora",5,7,0.8,"0.5998","early_secondary_small_tree"
"Rauvolfia mattfeldiana",9,NA,NA,"0.5122","unknown_small_tree"
"Rhamnidium elaeocarpum",150,12.5,0.36,"0.4498","early_secondary_large_tree"
"Rhodostemonodaphne capixabensis",20,8,0.7,"0.4927","late_secondary_small_tree"
"Rhodostemonodaphne macrocalyx",18,15,0.444444444444444,"0.3047","late_secondary_large_tree"
"Rinorea guianensis",131,12.5,0.442748091603053,"0.4498","early_secondary_large_tree"
"Roupala montana",98,12.5,0.408163265306122,"0.4498","early_secondary_large_tree"
"Roupala paulensis",2,NA,NA,"0.3342","unknown_large_tree"
"Roupala sculpta",11,NA,NA,"0.3342","unknown_large_tree"
"Rudgea blanchetiana",1,5,1,"1","unknown_large_shrub"
"Rudgea coriacea",1,9,0,"0.2868","climax_small_tree"
"Rudgea coronata",2,5,1,"1","unknown_large_shrub"
"Rudgea corymbulosa",5,NA,NA,"0.5122","unknown_small_tree"
"Rudgea crassifolia",3,NA,NA,"0.5122","unknown_small_tree"
"Rudgea jasminoides",781,8,0.34314980793854,"0.4927","late_secondary_small_tree"
"Rudgea recurva",128,9,0.328125,"0.2868","climax_small_tree"
"Rudgea reticulata",4,NA,NA,"0.3342","unknown_large_tree"
"Rudgea vellerea",4,8,0.75,"0.4927","late_secondary_small_tree"
"Ruprechtia laxiflora",5,12.5,0.4,"0.4498","early_secondary_large_tree"
"Rustia formosa",44,15,0.5,"0.3047","late_secondary_large_tree"
"Sacoglottis mattogrossensis",3,12.5,1,"0.4498","early_secondary_large_tree"
"Salacia elliptica",8,7,0.5,"0.5998","early_secondary_small_tree"
"Salacia grandifolia",9,7,0.444444444444444,"0.5998","early_secondary_small_tree"
"Sapium glandulosum",49,10,0.489795918367347,"0.5842","pioneer_large_tree"
"Sarcaulus brasiliensis",6,20,0.166666666666667,"0.2533","climax_large_tree"
"Savia dictyocarpa",270,15,0.333333333333333,"0.3047","late_secondary_large_tree"
"Schefflera angustissima",737,12.5,0.432835820895522,"0.4498","early_secondary_large_tree"
"Schefflera calva",10,12.5,0.4,"0.4498","early_secondary_large_tree"
"Schefflera morototoni",41,10,0.804878048780488,"0.5842","pioneer_large_tree"
"Schistostemon retusum",3,20,0.333333333333333,"0.2533","climax_large_tree"
"Schizocalyx cuspidatus",8,12.5,0.125,"0.4498","early_secondary_large_tree"
"Schizolobium parahyba",20,10,0.7,"0.5842","pioneer_large_tree"
"Schlegelia parviflora",2,NA,NA,"0.5122","unknown_small_tree"
"Schradera polycephala",2,NA,NA,NA,"NA_NA"
"Scyphonychium multiflorum",52,NA,NA,"0.3342","unknown_large_tree"
"Sebastiania brasiliensis",7,12.5,0,"0.4498","early_secondary_large_tree"
"Sebastiania jacobinensis",4,7,0.5,"0.5998","early_secondary_small_tree"
"Seguieria americana",37,12.5,0.0540540540540541,"0.4498","early_secondary_large_tree"
"Seguieria langsdorffii",9,15,0.333333333333333,"0.3047","late_secondary_large_tree"
"Senefeldera verticillata",23,15,0.304347826086957,"0.3047","late_secondary_large_tree"
"Senegalia giganticarpa",1,NA,NA,"0.3342","unknown_large_tree"
"Senegalia martiusiana",5,NA,NA,"0.5122","unknown_small_tree"
"Senegalia polyphylla",154,10,0.792207792207792,"0.5842","pioneer_large_tree"
"Senna macranthera",2,6,0.5,"0.7213","pioneer_small_tree"
"Senna multijuga",41,10,0.390243902439024,"0.5842","pioneer_large_tree"
"Senna silvestris",9,6,0.888888888888889,"0.7213","pioneer_small_tree"
"Serjania caracasana",1,NA,NA,NA,"NA_NA"
"Simaba guianensis",7,20,0.428571428571429,"0.2533","climax_large_tree"
"Simarouba amara",10,12.5,0.5,"0.4498","early_secondary_large_tree"
"Simira corumbensis",68,12.5,0.558823529411765,"0.4498","early_secondary_large_tree"
"Simira glaziovii",3,15,0,"0.3047","late_secondary_large_tree"
"Simira sampaioana",4,8,0.75,"0.4927","late_secondary_small_tree"
"Simira viridiflora",6,12.5,0.666666666666667,"0.4498","early_secondary_large_tree"
"Siparuna brasiliensis",1,8,0,"0.4927","late_secondary_small_tree"
"Siparuna cymosa",12,NA,NA,"0.3342","unknown_large_tree"
"Siparuna glycycarpa",6,NA,NA,"0.3342","unknown_large_tree"
"Siparuna guianensis",34,12.5,0.147058823529412,"0.4498","early_secondary_large_tree"
"Siparuna reginae",9,15,0,"0.3047","late_secondary_large_tree"
"Siphoneugena densiflora",111,15,0.261261261261261,"0.3047","late_secondary_large_tree"
"Siphoneugena guilfoyleiana",81,NA,NA,"0.3342","unknown_large_tree"
"Sloanea garckeana",24,15,0.0416666666666667,"0.3047","late_secondary_large_tree"
"Sloanea guianensis",980,15,0.316326530612245,"0.3047","late_secondary_large_tree"
"Sloanea hirsuta",131,15,0.229007633587786,"0.3047","late_secondary_large_tree"
"Sloanea lasiocoma",11,15,0.181818181818182,"0.3047","late_secondary_large_tree"
"Sloanea obtusifolia",10,15,0.9,"0.3047","late_secondary_large_tree"
"Sloanea sinemariensis",2,NA,NA,"0.3342","unknown_large_tree"
"Solanum argenteum",80,6,0.625,"0.7213","pioneer_small_tree"
"Solanum bullatum",5,12.5,0.4,"0.4498","early_secondary_large_tree"
"Solanum catharinensis",1,NA,NA,NA,"NA_NA"
"Solanum cinnamomeum",11,10,0.909090909090909,"0.5842","pioneer_large_tree"
"Solanum melissarum",3,NA,NA,"0.5122","unknown_small_tree"
"Solanum ovum-fringillae",1,NA,NA,NA,"NA_NA"
"Solanum pseudoquina",20,10,0.45,"0.5842","pioneer_large_tree"
"Solanum rupincola",1,NA,NA,NA,"unknown_NA"
"Solanum sooretamum",2,6,0.5,"0.7213","pioneer_small_tree"
"Solanum swartzianum",7,10,0,"0.5842","pioneer_large_tree"
"Solanum uncinellum",1,NA,NA,NA,"NA_NA"
"Sorocea bonplandii",404,15,0.222772277227723,"0.3047","late_secondary_large_tree"
"Sorocea guilleminiana",56,20,0.0357142857142857,"0.2533","climax_large_tree"
"Sorocea hilarii",12,8,0.416666666666667,"0.4927","late_secondary_small_tree"
"Sorocea jureiana",3,NA,NA,"0.4529","unknown_tree_unknown"
"Souroubea guianensis",2,NA,NA,NA,"NA_NA"
"Sparattanthelium botocudorum",3,6,0,"0.7213","pioneer_small_tree"
"Spirotheca rivieri",2,12.5,1,"0.4498","early_secondary_large_tree"
"Spondias macrocarpa",6,NA,NA,"0.3342","unknown_large_tree"
"Stephanopodium blanchetianum",55,12.5,0.218181818181818,"0.4498","early_secondary_large_tree"
"Stephanopodium estrellense",4,NA,NA,"0.5122","unknown_small_tree"
"Stephanopodium magnifolium",24,NA,NA,"0.5122","unknown_small_tree"
"Sterculia curiosa",46,15,0.369565217391304,"0.3047","late_secondary_large_tree"
"Sterculia excelsa",1,15,1,"0.3047","late_secondary_large_tree"
"Steyermarkina pyrifolia",1,NA,NA,NA,"NA_NA"
"Strychnos atlantica",5,NA,NA,NA,"NA_NA"
"Strychnos bahiensis",2,NA,NA,NA,"NA_NA"
"Strychnos brasiliensis",6,7,0.333333333333333,"0.5998","early_secondary_small_tree"
"Strychnos nigricans",2,NA,NA,NA,"NA_NA"
"Strychnos romeu-belenii",5,NA,NA,NA,"NA_NA"
"Stryphnodendron polyphyllum",2,12.5,0,"0.4498","early_secondary_large_tree"
"Stryphnodendron pulcherrimum",1,12.5,1,"0.4498","early_secondary_large_tree"
"Stylogyne lhotzkyana",24,20,0,"0.2533","climax_large_tree"
"Styrax acuminatus",7,12.5,0.428571428571429,"0.4498","early_secondary_large_tree"
"Styrax glabratus",6,12.5,0.166666666666667,"0.4498","early_secondary_large_tree"
"Swartzia acutifolia",11,15,0.545454545454545,"0.3047","late_secondary_large_tree"
"Swartzia alternifoliolata",9,8,0.777777777777778,"0.4927","late_secondary_small_tree"
"Swartzia apetala",8,12.5,0.125,"0.4498","early_secondary_large_tree"
"Swartzia flaemingii",6,15,0,"0.3047","late_secondary_large_tree"
"Swartzia macrostachya",14,15,0.285714285714286,"0.3047","late_secondary_large_tree"
"Swartzia myrtifolia",2,8,0,"0.4927","late_secondary_small_tree"
"Swartzia pinheiroana",1,NA,NA,"0.5122","unknown_small_tree"
"Swartzia polita",5,20,0.4,"0.2533","climax_large_tree"
"Swartzia reticulata",57,NA,NA,"0.3342","unknown_large_tree"
"Swartzia riedelii",7,NA,NA,"0.5122","unknown_small_tree"
"Swartzia simplex",40,15,0.225,"0.3047","late_secondary_large_tree"
"Swartzia submarginata",21,NA,NA,"0.3342","unknown_large_tree"
"Sweetia fruticosa",37,15,0.162162162162162,"0.3047","late_secondary_large_tree"
"Syagrus botryophora",8,12.5,0.125,"0.4498","early_secondary_large_tree"
"Syagrus oleracea",261,12.5,0.950191570881226,"0.4498","early_secondary_large_tree"
"Syagrus pseudococos",37,NA,NA,"0.3342","unknown_large_tree"
"Syagrus romanzoffiana",654,12.5,0.966360856269113,"0.4498","early_secondary_large_tree"
"Symphonia globulifera",85,12.5,0.529411764705882,"0.4498","early_secondary_large_tree"
"Symplocos celastrinea",3,15,0.666666666666667,"0.3047","late_secondary_large_tree"
"Symplocos estrellensis",46,15,0.369565217391304,"0.3047","late_secondary_large_tree"
"Symplocos falcata",48,8,0.875,"0.4927","late_secondary_small_tree"
"Symplocos laxiflora",93,12.5,0.473118279569892,"0.4498","early_secondary_large_tree"
"Tabebuia cassinoides",134,12.5,0.328358208955224,"0.4498","early_secondary_large_tree"
"Tabebuia elliptica",14,15,0.214285714285714,"0.3047","late_secondary_large_tree"
"Tabebuia roseoalba",8,12.5,0.625,"0.4498","early_secondary_large_tree"
"Tabebuia stenocalyx",6,NA,NA,"0.3342","unknown_large_tree"
"Tabernaemontana catharinensis",33,10,0.787878787878788,"0.5842","pioneer_large_tree"
"Tabernaemontana flavicans",14,NA,NA,"0.5122","unknown_small_tree"
"Tabernaemontana laeta",6,10,0.333333333333333,"0.5842","pioneer_large_tree"
"Tabernaemontana linkii",1,10,1,"0.5842","pioneer_large_tree"
"Tabernaemontana salzmannii",28,12.5,0.107142857142857,"0.4498","early_secondary_large_tree"
"Tachigali densiflora",20,12.5,0.6,"0.4498","early_secondary_large_tree"
"Tachigali denudata",79,15,0.40506329113924,"0.3047","late_secondary_large_tree"
"Tachigali paratyensis",9,12.5,0.222222222222222,"0.4498","early_secondary_large_tree"
"Talisia cerasina",13,15,0,"0.3047","late_secondary_large_tree"
"Talisia cupularis",2,NA,NA,"0.5122","unknown_small_tree"
"Talisia macrophylla",4,12.5,0,"0.4498","early_secondary_large_tree"
"Tapirira guianensis",817,12.5,0.5842,"0.4498","early_secondary_large_tree"
"Terminalia dichotoma",18,NA,NA,"0.3342","unknown_large_tree"
"Terminalia glabrescens",9,12.5,0.777777777777778,"0.4498","early_secondary_large_tree"
"Terminalia januariensis",3,12.5,0.666666666666667,"0.4498","early_secondary_large_tree"
"Terminalia mameluco",1,12.5,1,"0.4498","early_secondary_large_tree"
"Terminalia oblonga",11,12.5,0.363636363636364,"0.4498","early_secondary_large_tree"
"Terminalia triflora",1,15,0,"0.3047","late_secondary_large_tree"
"Ternstroemia brasiliensis",529,7,0.909262759924386,"0.5998","early_secondary_small_tree"
"Tetrastylidium grandifolium",466,15,0.369098712446352,"0.3047","late_secondary_large_tree"
"Tetrorchidium rubrivenium",59,12.5,0.457627118644068,"0.4498","early_secondary_large_tree"
"Theobroma cacao",1,NA,NA,NA,"NA_NA"
"Thyrsodium spruceanum",23,12.5,0.173913043478261,"0.4498","early_secondary_large_tree"
"Tibouchina pulchra",707,10,0.582743988684583,"0.5842","pioneer_large_tree"
"Tibouchina sellowiana",35,10,0.6,"0.5842","pioneer_large_tree"
"Tontelea attenuata",15,NA,NA,"0.3342","unknown_large_tree"
"Tovomita amazonica",14,NA,NA,NA,"NA_NA"
"Tovomita brevistaminea",2,8,1,"0.4927","late_secondary_small_tree"
"Tovomita choisyana",50,12.5,0.34,"0.4498","early_secondary_large_tree"
"Tovomita fructipendula",2,15,0,"0.3047","late_secondary_large_tree"
"Tovomita longifolia",97,NA,NA,"0.3342","unknown_large_tree"
"Tovomita mangle",38,9,0.263157894736842,"0.2868","climax_small_tree"
"Trema micrantha",30,10,0.566666666666667,"0.5842","pioneer_large_tree"
"Trichilia casaretti",42,15,0.0476190476190476,"0.3047","late_secondary_large_tree"
"Trichilia catigua",1006,12.5,0.0328031809145129,"0.4498","early_secondary_large_tree"
"Trichilia clausseni",1303,15,0.0406753645433615,"0.3047","late_secondary_large_tree"
"Trichilia elegans",4,15,0,"0.3047","late_secondary_large_tree"
"Trichilia florbranca",1,NA,NA,"0.5122","unknown_small_tree"
"Trichilia hirta",1,15,1,"0.3047","late_secondary_large_tree"
"Trichilia lepidota",141,20,0.113475177304965,"0.2533","climax_large_tree"
"Trichilia pallens",25,9,0.16,"0.2868","climax_small_tree"
"Trichilia pallida",335,15,0.0358208955223881,"0.3047","late_secondary_large_tree"
"Trichilia pleeana",3,NA,NA,"0.3342","unknown_large_tree"
"Trichilia pseudostipularis",3,9,0.333333333333333,"0.2868","climax_small_tree"
"Trichilia quadrijuga",8,12.5,0.75,"0.4498","early_secondary_large_tree"
"Trichilia ramalhoi",8,NA,NA,"0.3342","unknown_large_tree"
"Trichilia silvatica",16,8,0.5625,"0.4927","late_secondary_small_tree"
"Trichilia tetrapetala",3,8,0.333333333333333,"0.4927","late_secondary_small_tree"
"Unonopsis bahiensis",4,NA,NA,"0.3342","unknown_large_tree"
"Urera baccifera",54,6,0.833333333333333,"0.7213","pioneer_small_tree"
"Urera caracasana",6,6,0,"0.7213","pioneer_small_tree"
"Urera nitida",2,5,1,"1","pioneer_large_shrub"
"Vantanea bahiaensis",1,NA,NA,"0.5122","unknown_small_tree"
"Vantanea compacta",184,15,0.619565217391304,"0.3047","late_secondary_large_tree"
"Vataireopsis araroba",8,12.5,0.375,"0.4498","early_secondary_large_tree"
"Vernonanthura discolor",2,10,1,"0.5842","pioneer_large_tree"
"Vernonanthura divaricata",16,10,0.625,"0.5842","pioneer_large_tree"
"Vernonanthura puberula",9,10,1,"0.5842","pioneer_large_tree"
"Virola bicuhyba",514,15,0.478599221789883,"0.3047","late_secondary_large_tree"
"Virola gardneri",36,15,0.388888888888889,"0.3047","late_secondary_large_tree"
"Virola officinalis",98,15,0.459183673469388,"0.3047","late_secondary_large_tree"
"Virola pavonis",1,NA,NA,NA,"NA_NA"
"Vismia guianensis",10,6,0.5,"0.7213","pioneer_small_tree"
"Vitex megapotamica",18,12.5,0.277777777777778,"0.4498","early_secondary_large_tree"
"Vitex orinocensis",5,12.5,1,"0.4498","early_secondary_large_tree"
"Vitex polygama",23,12.5,0.478260869565217,"0.4498","early_secondary_large_tree"
"Vochysia bifalcata",501,12.5,0.612774451097804,"0.4498","early_secondary_large_tree"
"Vochysia rectiflora",1,NA,NA,"0.3342","unknown_large_tree"
"Vochysia riedeliana",40,NA,NA,"0.3342","unknown_large_tree"
"Vochysia selloi",1,NA,NA,"0.5122","unknown_small_tree"
"Vochysia tucanorum",1,12.5,1,"0.4498","early_secondary_large_tree"
"Weinmannia discolor",13,15,0.538461538461538,"0.3047","late_secondary_large_tree"
"Weinmannia paulliniifolia",69,12.5,0.594202898550725,"0.4498","early_secondary_large_tree"
"Ximenia americana",1,NA,NA,"0.5122","unknown_small_tree"
"Xylopia brasiliensis",66,12.5,0.46969696969697,"0.4498","early_secondary_large_tree"
"Xylopia laevigata",4,15,0.25,"0.3047","late_secondary_large_tree"
"Xylopia langsdorffiana",1101,12.5,0.0772025431425976,"0.4498","early_secondary_large_tree"
"Xylopia ochrantha",11,15,0,"0.3047","late_secondary_large_tree"
"Xylopia sericea",2,10,0.5,"0.5842","pioneer_large_tree"
"Xylosma glaberrima",5,7,0.8,"0.5998","early_secondary_small_tree"
"Xylosma pseudosalzmannii",5,12.5,0.2,"0.4498","early_secondary_large_tree"
"Xylosma tweediana",2,7,1,"0.5998","early_secondary_small_tree"
"Zanthoxylum acuminatum",18,12.5,0.166666666666667,"0.4498","early_secondary_large_tree"
"Zanthoxylum caribaeum",24,12.5,0.5,"0.4498","early_secondary_large_tree"
"Zanthoxylum fagara",54,12.5,0.259259259259259,"0.4498","early_secondary_large_tree"
"Zanthoxylum monogynum",31,7,0.645161290322581,"0.5998","early_secondary_small_tree"
"Zanthoxylum nemorale",7,12.5,0,"0.4498","early_secondary_large_tree"
"Zanthoxylum petiolare",1,12.5,1,"0.4498","early_secondary_large_tree"
"Zanthoxylum rhoifolium",89,12.5,0.224719101123595,"0.4498","early_secondary_large_tree"
"Zanthoxylum riedelianum",6,12.5,0.333333333333333,"0.4498","early_secondary_large_tree"
"Zanthoxylum tingoassuiba",2,12.5,0.5,"0.4498","early_secondary_large_tree"
"Zeyheria tuberculosa",106,15,0.320754716981132,"0.3047","late_secondary_large_tree"
"Zollernia glabra",21,8,0.428571428571429,"0.4927","late_secondary_small_tree"
"Zollernia ilicifolia",128,15,0.3671875,"0.3047","late_secondary_large_tree"
"Zollernia magnifica",17,NA,NA,"0.3342","unknown_large_tree"
"Zollernia modesta",8,15,0.625,"0.3047","late_secondary_large_tree"
