"","original.search","id","scientific.name","accepted.name","family","taxon.rank","taxon.status","search.str","threat.status","notes","life.form","vegetation.type","establishment","domain","order","checagem_VCS","DataSource","TreeCo_status","establishment.AF","establishment.BR","habito","habito.reflora","habito.Hans","habito.Ary","succesional.group","dispersal.syndrome","status_final","status_brazil_2005","criterion_iucn_brazil_2005","status_iucn_2005","criterion_iucn_2005","year_assessed_2005","geographical_distribution","Name_matched","Overall_score","Taxonomic_status","Accepted_name","Accepted_name_author","Accepted_name_rank","Accepted_name_url","Accepted.name.species","Accepted_name_genus","Accepted_name_family","Source","Warnings","Accepted_name_lsid","Bolivia","Brazil","Colombia","Ecuador","French.Guiana","Guyana","Peru","Suriname","Venezuela.x","Grand.Total","Tree.Source","obs","id.reflora","scientific.name.reflora","accepted.name.reflora","family.reflora","genus.reflora","specific.epiteth.reflora","infra.epiteth.reflora","species.reflora","taxon.rank.reflora","taxon.status.reflora","name.status.reflora","search.str.reflora","threat.status.reflora","notes.reflora","life.form.reflora","habitat.reflora","BrazilianStates.reflora","establishment.reflora","vegtype.reflora","domain.reflora","endemism.Reflora","SppID","Family","Genus","Species","Full_Species","notes.x","Species.code","Growth.habits","Potential.height","Domain.Ary","Endemism.Ary","Equatorial","Tropical","Subtropical","Temperate","Subantarctic","Rain.forest","Cloud.forest","Mixed.forest","Semideciduous.forest","Deciduous.forest","Montane.woodland","Coastal.sandy.woodland","Hinterland.sandy.woodland","Savanna.woodland","Semi.arid.thorny.woodland","Semi.desert.and.Desert","Tidal.forest","Adventitious","Africa","Asia","Oceania","United.States","Mexico","Belize","Guatemala","El.Salvador","Honduras","Nicaragua","Costa.Rica","Panama","Isla.del.Coco","Galapagos","Jamaica","Cuba","Hispaniola","Puerto.Rico","Bahamas","Lesser.Antilles","Trinidad.and.Tobago","French.Guiana.1","Surinam","Guyana.1","Venezuela","Colombia.1","Ecuador.1","Peru.1","Bolivia.1","Paraguay","Uruguay","Argentina","Chile","Ju.n.Fern.ndez","Brazil.1","BrazilianStates.Ary","ArgentinaStates.ConoSur","BrazilianStates.ConoSur","ChileanStates.ConoSur","ParaguayanStates.ConoSur","UruguayanStates.ConoSur","Taxonomic.comments","AtlanticForest","Domain","Endemism","ARG.Missiones.ConoSur","BRA.MataAtlantica.Reflora.Ary.Conosur","PAY.MataAtlantica.ConoSur","PotentialAtlanticForest","AtlanticForestChecklist_preliminary","treeco","notes.TPL","Taxon","Genus.TPL","Hybrid.marker.TPL","Species.TPL","Infraspecific.rank.TPL","Infraspecific.TPL","Authority.TPL","ID.TPL","Plant.Name.Index.TPL","Taxonomic.status.TPL","Family.TPL","New.Genus.TPL","New.Hybrid.marker.TPL","New.Species.TPL","New.Infraspecific.rank.TPL","New.Infraspecific.TPL","New.Authority.TPL","New.ID.TPL","New.Taxonomic.status.TPL","Higher.level.TPL","TPL.version","NewTaxon.TPL","Habit.TreeCo","MaxHeight_m.TreeCo","MaxDbh_cm.TreeCo","VCS.jan2019..nome.","VCS.jan2019..habito.","VCS.jan2019..establishment.","Distribution.VCS","TBC"
"1","Agonandra brasiliensis",19966,"Agonandra brasiliensis Miers ex Benth. & Hook.f.",NA,"Opiliaceae","species","accepted","Agonandra brasiliensis",NA,"","¡rvore","Carrasco|Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta de Terra Firme|Floresta de V·rzea|Floresta Estacional Decidual|Floresta Estacional Semidecidual","native","AmazÙnia|Caatinga|Cerrado|Mata Atl‚ntica|Pantanal",1492,NA,"Grandtner","ok","native","native","1","1",1,1,"late_secondary","zoochoric",NA,NA,NA,NA,NA,NA,"neotropical","Agonandra brasiliensis",1,"Accepted","Agonandra brasiliensis","Miers ex Benth. & Hook. f.","species","http://www.tropicos.org/Name/23400002","Agonandra brasiliensis","Agonandra","Opiliaceae","tropicos",NA,NA,8,82,1,NA,NA,10,5,3,6,115,"country_checklists","revised.by.D.Cardoso",19966,"Agonandra brasiliensis Miers ex Benth. & Hook.f.",NA,"Opiliaceae","Agonandra","brasiliensis",NA,"Agonandra brasiliensis","species","accepted","correct","Agonandra brasiliensis",NA,NA,"check",NA,NA,NA,NA,NA,"not_endemic",12901,"OPILIACEAE","Agonandra","Agonandra brasiliensis","Agonandra brasiliensis Miers ex Benth. & Hook.f.",NA,"Agonbras","Tree",25,"Amazonia|AtlanticForest|Caatinga|Cerrado|Pantanal|SouthernAndes","not_endemic","+","+",NA,NA,NA,"+",NA,NA,"+","+",NA,"+","+","+","+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PNM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SR","GN","VNZ","CLM",NA,"PER","BOL","PAY",NA,NA,NA,NA,"Brasil","RO|AC|AM|RR|PA|AP|TO|MA|PI|CE|RN|PB|PE|BA|MG|SP|MS|MT|GO|DF",NA,"BRA(Fuera del òrea del proyecto)",NA,"PRY(AMA, CON, SPE)",NA,"Hiepko, P. Opiliaceae in Lista de Esp?cies da Flora do Brasil. Jardim Bot?nico do Rio de Janeiro. Available in: <http://floradobrasil.jbrj.gov.br/jabot/floradobrasil/FB19966>. Access on: 30 Jul. 2014.","yes","Amazonia|AtlanticForest|Caatinga|Cerrado|Pantanal|SouthernAndes","not_endemic",0,1,1,"yes","yes","TRUE","Accepted","Agonandra brasiliensis","Agonandra",NA,"brasiliensis",NA,NA,NA,"kew-2626658",TRUE,"Accepted","Opiliaceae","Agonandra",NA,"brasiliensis",NA,NA,"Miers ex Benth.","kew-2626658","Accepted",FALSE,1.1,"Agonandra brasiliensis",NA,NA,NA,NA,NA,NA,NA,NA
"2","Aiouea bracteata",8380,"Aiouea bracteata Kosterm.",NA,"Lauraceae","species","accepted","Aiouea bracteata","VU","","¡rvore","Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta Estacional Semidecidual","native","Cerrado|Mata Atl‚ntica",1522,NA,"Grandtner","ok","native","native","1","1",1,1,"late_secondary","zoochoric","vulnerable_VU_reflora","vulnerable_VU","D2","vulnerable_VU","B1+2c",1998,"local_endemic","Aiouea bracteata",1,"Accepted","Aiouea bracteata","Kosterm.","species","http://www.tropicos.org/Name/17802516","Aiouea bracteata","Aiouea","Lauraceae","tropicos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8380,"Aiouea bracteata Kosterm.",NA,"Lauraceae","Aiouea","bracteata",NA,"Aiouea bracteata","species","accepted","correct","Aiouea bracteata","VU",NA,"Tree","Terricola","SP","native","Cerrado(latosensu)|FlorestaCiliarouGaleria|FlorestaEstacionalSemidecidual","Cerrado|AtlanticForest","endemic",5963,"LAURACEAE","Aiouea","Aiouea bracteata","Aiouea bracteata Kosterm.",NA,"Aioubrac","Tree or shrub",5,"AtlanticForest|Cerrado","not_endemic",NA,"+",NA,NA,NA,NA,"+",NA,"+","+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Brasil","MG|SP",NA,NA,NA,NA,NA,"Quinet, A.; Baitello, J.B.; Moraes, P.L.R. de; Alves, F.M.; Assis, L. Lauraceae in Lista de Esp?cies da Flora do Brasil. Jardim Bot?nico do Rio de Janeiro. Available in: <http://floradobrasil.jbrj.gov.br/jabot/floradobrasil/FB8378>. Access on: 17 Apr. 201","yes","AtlanticForest|Cerrado","not_endemic",NA,1,NA,"yes","no","TRUE","Accepted","Aiouea bracteata","Aiouea",NA,"bracteata",NA,NA,NA,"kew-2626892",TRUE,"Accepted","Lauraceae","Aiouea",NA,"bracteata",NA,NA,"Kosterm.","kew-2626892","Accepted",FALSE,1.1,"Aiouea bracteata",NA,NA,NA,NA,NA,NA,NA,NA
"3","Aspidosperma brasiliense",604199,"Aspidosperma brasiliense A.S.S.Pereira & A.C.D.Castello",NA,"Apocynaceae","species","accepted","Aspidosperma brasiliense",NA,"","¡rvore","Carrasco|Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Savana AmazÙnica","native","AmazÙnia|Caatinga|Cerrado|Mata Atl‚ntica",56557,NA,"FloraBrasil","ok",NA,"native","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Accepted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,604199,"Aspidosperma brasiliense A.S.S. Pereira & A.C.D. Castello",NA,"Apocynaceae","Aspidosperma","brasiliense",NA,"Aspidosperma brasiliense","species","accepted","correct",NA,NA,NA,"Tree",NA,"MG|SP|RJ|GO|MT|DF|RN|MA|CE|BA|AL|TO|PA","native","Carrasco|Cerrado(latosensu)|FlorestaCiliarouGaleria|SavanaAmaz??nica","Amazonia|Caatinga|Cerrado|AtlanticForest","endemic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"yes","no",NA,"not_found","Aspidosperma brasiliense","Aspidosperma",NA,"brasiliense",NA,NA,NA,NA,FALSE,NA,NA,"Aspidosperma",NA,"brasiliense",NA,NA,NA,NA,NA,FALSE,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Aspidosperma quirandy",4531,"Aspidosperma quirandy Hassl.",NA,"Apocynaceae","species","accepted","Aspidosperma quirandy",NA,"","¡rvore","Floresta Estacional Decidual|Floresta Estacional Semidecidual","native","Mata Atl‚ntica",4007,NA,"Grandtner synonym","ok","native","native","1","1",1,NA,NA,"anemochoric",NA,NA,NA,NA,NA,NA,"eastern_south_america","Aspidosperma quirandy",1,"Synonym","Aspidosperma australe","MÅll.Arg.","species","http://www.tropicos.org/Name/1803205","Aspidosperma australe","Aspidosperma","Apocynaceae","tropicos",NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,8,"country_checklists","checked against Cardoso list",4531,"Aspidosperma quirandy Hassl.",NA,"Apocynaceae","Aspidosperma","quirandy",NA,"Aspidosperma quirandy","species","accepted",NA,"Aspidosperma quirandy",NA,NA,"Tree","Terricola",NA,NA,NA,"AtlanticForest","not_endemic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","AtlanticForest","endemic",NA,NA,NA,"yes","yes","TRUE","Accepted","Aspidosperma quirandy","Aspidosperma",NA,"quirandy",NA,NA,NA,"kew-17349",TRUE,"Accepted","Apocynaceae","Aspidosperma",NA,"quirandy",NA,NA,"Hassl.","kew-17349","Accepted",FALSE,1.1,"Aspidosperma quirandy",NA,NA,NA,NA,NA,NA,NA,NA
"5","Clitoria fairchildiana",29540,"Clitoria fairchildiana R.A.Howard",NA,"Fabaceae","species","accepted","Clitoria fairchildiana",NA,"","¡rvore","¡rea AntrÛpica|Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta de V·rzea|Floresta OmbrÛfila (= Floresta Pluvial)|Restinga","native","AmazÙnia|Caatinga|Cerrado|Mata Atl‚ntica",12149,NA,"Grandtner","ok","naturalized","native","1","1",1,1,"early_secondary","autochoric",NA,NA,NA,NA,NA,NA,"exotic","Clitoria fairchildiana",1,"Accepted","Clitoria fairchildiana","R.A. Howard","species","http://www.tropicos.org/Name/13002231","Clitoria fairchildiana","Clitoria","Fabaceae","tropicos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"from checklist 2018","revised.by.D.Cardoso.J.Iganci.H.C.Lima.T.D.Pennington.L.P.Queiroz",29540,"Clitoria fairchildiana R.A.Howard",NA,"Fabaceae","Clitoria","fairchildiana",NA,"Clitoria fairchildiana","species","accepted","correct","Clitoria fairchildiana",NA,NA,"Tree","Terricola","AL|AM|AP|BA|CE|ES|GO|MA|MG|MS|PA|PB|PE|PI|PR|RJ|RN|RO|RS|SC|SE|SP|TO","native","?ÅreaAntropica|Cerrado(latosensu)|FlorestaCiliarouGaleria|FlorestadeVarzea|FlorestaOmbrofila(=FlorestaPluvial)|Restinga","Amazonia|Caatinga|Cerrado|AtlanticForest","not_endemic",7378,"LEGUMINOSAE","Clitoria","Clitoria fairchildiana","Clitoria fairchildiana R.A.Howard",NA,"Clitfair","Tree",12,"Amazonia|AtlanticForest|Cerrado","not_endemic","+","+",NA,NA,NA,"+",NA,NA,"+",NA,NA,NA,NA,NA,NA,NA,NA,"+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Brasil","PA|AP|TO|MA|PI|CE|PB|PE|AL|SE|BA|GO",NA,NA,NA,NA,NA,"Rando, J.G.; Souza, V.C. Clitoria in Lista de Esp?cies da Flora do Brasil. Jardim Bot?nico do Rio de Janeiro. Available in: <http://floradobrasil.jbrj.gov.br/jabot/floradobrasil/FB22756>. Access on: 10 Jun. 2014.","yes",NA,"not_endemic",NA,1,NA,"yes","yes","TRUE","Accepted","Clitoria fairchildiana","Clitoria",NA,"fairchildiana",NA,NA,NA,"ild-10748",TRUE,"Accepted","Fabaceae","Clitoria",NA,"fairchildiana",NA,NA,"R.A.Howard","ild-10748","Accepted",FALSE,1.1,"Clitoria fairchildiana",NA,NA,NA,NA,NA,NA,NA,NA
"6","Cochlospermum vitifolium",5747,"Cochlospermum vitifolium (Willd.) Spreng.",NA,"Bixaceae","species","accepted","Cochlospermum vitifolium",NA,"","Arbusto|¡rvore","Caatinga (stricto sensu)|Cerrado (lato sensu)|Floresta Estacional Decidual|Savana AmazÙnica","native","AmazÙnia|Caatinga|Cerrado|Mata Atl‚ntica",12665,NA,"Grandtner","ok","native","native","1","1",1,1,"pioneer","anemochoric",NA,NA,NA,NA,NA,NA,"neotropical","Cochlospermum vitifolium",1,"Accepted","Cochlospermum vitifolium","(Willd.) Spreng.","species","http://www.tropicos.org/Name/8000014","Cochlospermum vitifolium","Cochlospermum","Bixaceae","tropicos",NA,NA,12,222,17,NA,22,20,20,11,15,339,"country_checklists","checked against Cardoso list",5747,"Cochlospermum vitifolium (Willd.) Spreng.",NA,"Bixaceae","Cochlospermum","vitifolium",NA,"Cochlospermum vitifolium","species","accepted","correct","Cochlospermum vitifolium",NA,NA,"Shrub|Tree","Terricola","AL|AM|AP|BA|CE|MA|MG|PA|PB|PE|PI|RN|RO|RR|SE","native","Caatinga(strictosensu)|Cerrado(latosensu)|FlorestaEstacionalDecidual|SavanaAmaz??nica","Amazonia|Caatinga|Cerrado|AtlanticForest","not_endemic",2580,"BIXACEAE","Cochlospermum","Cochlospermum vitifolium","Cochlospermum vitifolium (Willd.) Spreng.",NA,"Cochviti","Tree",15,"Amazonia|AtlanticForest|Caatinga|Cerrado|Caribbean|NorthernAndes|SouthernAndes|MesoamericanDrylands|MesoamericanMoistForests","not_endemic","+","+",NA,NA,NA,"+",NA,NA,"+","+","+","+",NA,"+","+",NA,NA,NA,NA,NA,NA,NA,"MEX","BL","GU","ES","HO","NI","CR","PNM",NA,NA,NA,"CUB","HI",NA,NA,"LA","TT","GF","SR","GN","VNZ","CLM","ECU","PER","BOL",NA,NA,NA,NA,NA,"Brasil","RO|AM|RR|PA|AP|TO|MA|PI|CE|RN|PB|PE|AL|SE|BA|MG|MT|GO",NA,NA,NA,NA,NA,"Lleras, E. Bixaceae in Lista de Esp?cies da Flora do Brasil. Jardim Bot?nico do Rio de Janeiro. Available in: <http://floradobrasil.jbrj.gov.br/jabot/floradobrasil/FB5743>. Access on: 08 Apr. 2014.","yes","Amazonia|AtlanticForest|Caatinga|Cerrado|Caribbean|NorthernAndes|SouthernAndes|MesoamericanDrylands|MesoamericanMoistForests","not_endemic",NA,1,NA,"yes","yes","TRUE","Accepted","Cochlospermum vitifolium","Cochlospermum",NA,"vitifolium",NA,NA,NA,"kew-44555",TRUE,"Accepted","Bixaceae","Cochlospermum",NA,"vitifolium",NA,NA,"(Willd.) Spreng.","kew-44555","Accepted",FALSE,1.1,"Cochlospermum vitifolium",NA,NA,NA,NA,NA,NA,NA,NA
"7","Erythroxylum strobilaceum",29135,"Erythroxylum strobilaceum Peyr.",NA,"Erythroxylaceae","species","accepted","Erythroxylum strobilaceum",NA,"","Arbusto","Floresta Ciliar ou Galeria|VegetaÁ„o Sobre Afloramentos Rochosos","native","Cerrado|Mata Atl‚ntica",59735,NA,"TreeCo","ok","native","native","0.5","0.5",NA,NA,NA,"zoochoric",NA,"data_deficient_DD",NA,NA,NA,NA,"local_endemic",NA,NA,"Accepted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29135,"Erythroxylum strobilaceum Peyr.",NA,"Erythroxylaceae","Erythroxylum","strobilaceum",NA,"Erythroxylum strobilaceum","species","accepted","correct","Erythroxylum strobilaceum",NA,NA,"Shrub","Terricola|Rupicola","MG","native","FlorestaCiliarouGaleria|Vegeta????oSobreAfloramentosRochosos","Cerrado|AtlanticForest","endemic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"yes","yes","TRUE","Accepted","Erythroxylum strobilaceum","Erythroxylum",NA,"strobilaceum",NA,NA,NA,"kew-2801683",TRUE,"Accepted","Erythroxylaceae","Erythroxylum",NA,"strobilaceum",NA,NA,"Peyr.","kew-2801683","Accepted",FALSE,1.1,"Erythroxylum strobilaceum",NA,NA,NA,NA,NA,NA,NA,NA
